Sector,Source,Area,Case,Year,Data,Unit
N/A,Solar/Wind/Geothermal,Alberta,Technology,2038,41705.042,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2039,42206.113,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2040,42707.197,GW.h
N/A,Coal,Alberta,Technology,2005,43254.69,GW.h
N/A,Coal,Alberta,Technology,2006,43790.66,GW.h
N/A,Coal,Alberta,Technology,2007,43541.85,GW.h
N/A,Coal,Alberta,Technology,2008,41804.43,GW.h
N/A,Coal,Alberta,Technology,2009,40615.83,GW.h
N/A,Coal,Alberta,Technology,2010,41013.1,GW.h
N/A,Coal,Alberta,Technology,2011,38859,GW.h
N/A,Coal,Alberta,Technology,2012,37270.75,GW.h
N/A,Coal,Alberta,Technology,2013,38460.42,GW.h
N/A,Coal,Alberta,Technology,2014,43408.71,GW.h
N/A,Coal,Alberta,Technology,2015,40524.11,GW.h
N/A,Coal,Alberta,Technology,2016,39000.37,GW.h
N/A,Coal,Alberta,Technology,2017,41445.23,GW.h
N/A,Coal,Alberta,Technology,2018,39838.56,GW.h
N/A,Coal,Alberta,Technology,2019,40122.94,GW.h
N/A,Coal,Alberta,Technology,2020,35221.98,GW.h
N/A,Coal,Alberta,Technology,2021,31166.49,GW.h
N/A,Coal,Alberta,Technology,2022,26194.7,GW.h
N/A,Coal,Alberta,Technology,2023,19077.11,GW.h
N/A,Coal,Alberta,Technology,2024,16820.04,GW.h
N/A,Coal,Alberta,Technology,2025,15572.64,GW.h
N/A,Coal,Alberta,Technology,2026,12666.63,GW.h
N/A,Coal,Alberta,Technology,2027,12480.86,GW.h
N/A,Coal,Alberta,Technology,2028,8300.648,GW.h
N/A,Coal,Alberta,Technology,2029,6618.458,GW.h
N/A,Coal,Alberta,Technology,2030,0,GW.h
N/A,Coal,Alberta,Technology,2031,0,GW.h
N/A,Coal,Alberta,Technology,2032,0,GW.h
N/A,Coal,Alberta,Technology,2033,0,GW.h
N/A,Coal,Alberta,Technology,2034,0,GW.h
N/A,Coal,Alberta,Technology,2035,0,GW.h
N/A,Coal,Alberta,Technology,2036,0,GW.h
N/A,Coal,Alberta,Technology,2037,0,GW.h
N/A,Coal,Alberta,Technology,2038,0,GW.h
N/A,Coal,Alberta,Technology,2039,0,GW.h
N/A,Coal,Alberta,Technology,2040,0,GW.h
N/A,Natural Gas,Alberta,Technology,2005,19568.7522,GW.h
N/A,Natural Gas,Alberta,Technology,2006,22063.15,GW.h
N/A,Natural Gas,Alberta,Technology,2007,22337.9622,GW.h
N/A,Natural Gas,Alberta,Technology,2008,23347.0922,GW.h
N/A,Natural Gas,Alberta,Technology,2009,26233.32,GW.h
N/A,Natural Gas,Alberta,Technology,2010,27594.87,GW.h
N/A,Natural Gas,Alberta,Technology,2011,28106.9,GW.h
N/A,Natural Gas,Alberta,Technology,2012,29938.0578,GW.h
N/A,Natural Gas,Alberta,Technology,2013,31739.4878,GW.h
N/A,Natural Gas,Alberta,Technology,2014,31585.45,GW.h
N/A,Natural Gas,Alberta,Technology,2015,32929.6678,GW.h
N/A,Natural Gas,Alberta,Technology,2016,29994.05,GW.h
N/A,Natural Gas,Alberta,Technology,2017,29038.4,GW.h
N/A,Natural Gas,Alberta,Technology,2018,32249.7078,GW.h
N/A,Natural Gas,Alberta,Technology,2019,33471.0644,GW.h
N/A,Natural Gas,Alberta,Technology,2020,39429.0122,GW.h
N/A,Natural Gas,Alberta,Technology,2021,42001.35,GW.h
N/A,Natural Gas,Alberta,Technology,2022,44783.3222,GW.h
N/A,Natural Gas,Alberta,Technology,2023,48091.59,GW.h
N/A,Natural Gas,Alberta,Technology,2024,49238.14,GW.h
N/A,Natural Gas,Alberta,Technology,2025,47707.06,GW.h
N/A,Natural Gas,Alberta,Technology,2026,49054.1522,GW.h
N/A,Natural Gas,Alberta,Technology,2027,46952.1922,GW.h
N/A,Natural Gas,Alberta,Technology,2028,46015.22,GW.h
N/A,Natural Gas,Alberta,Technology,2029,44626.42,GW.h
N/A,Natural Gas,Alberta,Technology,2030,48177.38,GW.h
N/A,Natural Gas,Alberta,Technology,2031,47399.34,GW.h
N/A,Natural Gas,Alberta,Technology,2032,46642.82,GW.h
N/A,Natural Gas,Alberta,Technology,2033,46517.3678,GW.h
N/A,Natural Gas,Alberta,Technology,2034,46585.7122,GW.h
N/A,Natural Gas,Alberta,Technology,2035,47062.92,GW.h
N/A,Natural Gas,Alberta,Technology,2036,47242.73,GW.h
N/A,Natural Gas,Alberta,Technology,2037,47332.29,GW.h
N/A,Natural Gas,Alberta,Technology,2038,47532.92,GW.h
N/A,Natural Gas,Alberta,Technology,2039,47780.47,GW.h
N/A,Natural Gas,Alberta,Technology,2040,47966.36,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2005,1695.329,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2006,1825.335,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2007,1874.011,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2008,1915.95,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2009,1860.559,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2010,1907.417,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2011,1971.415,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2012,2088.77,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2013,2249.49,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2014,3497.128,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2015,795.5522,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2016,853.5,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2017,1143.589,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2018,1143.589,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2019,1143.589,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2020,1143.589,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2021,1143.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2022,1143.589,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2023,1581.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2024,1581.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2025,1581.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2026,1581.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2027,1581.59,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2028,1860.186,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2029,1756.07,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2030,1756.07,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2031,1756.07,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2032,1493.99,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2033,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2034,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2035,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2036,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2037,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2038,1669.19,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2039,1843.905,GW.h
N/A,Biofuels/Biomass,Alberta,Technology,2040,2017.507,GW.h
N/A,Nuclear,Alberta,Technology,2005,0,GW.h
N/A,Nuclear,Alberta,Technology,2006,0,GW.h
N/A,Nuclear,Alberta,Technology,2007,0,GW.h
N/A,Nuclear,Alberta,Technology,2008,0,GW.h
N/A,Nuclear,Alberta,Technology,2009,0,GW.h
N/A,Nuclear,Alberta,Technology,2010,0,GW.h
N/A,Nuclear,Alberta,Technology,2011,0,GW.h
N/A,Nuclear,Alberta,Technology,2012,0,GW.h
N/A,Nuclear,Alberta,Technology,2013,0,GW.h
N/A,Nuclear,Alberta,Technology,2014,0,GW.h
N/A,Nuclear,Alberta,Technology,2015,0,GW.h
N/A,Nuclear,Alberta,Technology,2016,0,GW.h
N/A,Nuclear,Alberta,Technology,2017,0,GW.h
N/A,Nuclear,Alberta,Technology,2018,0,GW.h
N/A,Nuclear,Alberta,Technology,2019,0,GW.h
N/A,Nuclear,Alberta,Technology,2020,0,GW.h
N/A,Nuclear,Alberta,Technology,2021,0,GW.h
N/A,Nuclear,Alberta,Technology,2022,0,GW.h
N/A,Nuclear,Alberta,Technology,2023,0,GW.h
N/A,Nuclear,Alberta,Technology,2024,0,GW.h
N/A,Nuclear,Alberta,Technology,2025,0,GW.h
N/A,Nuclear,Alberta,Technology,2026,0,GW.h
N/A,Nuclear,Alberta,Technology,2027,0,GW.h
N/A,Nuclear,Alberta,Technology,2028,0,GW.h
N/A,Nuclear,Alberta,Technology,2029,0,GW.h
N/A,Nuclear,Alberta,Technology,2030,0,GW.h
N/A,Nuclear,Alberta,Technology,2031,0,GW.h
N/A,Nuclear,Alberta,Technology,2032,0,GW.h
N/A,Nuclear,Alberta,Technology,2033,0,GW.h
N/A,Nuclear,Alberta,Technology,2034,0,GW.h
N/A,Nuclear,Alberta,Technology,2035,0,GW.h
N/A,Nuclear,Alberta,Technology,2036,0,GW.h
N/A,Nuclear,Alberta,Technology,2037,0,GW.h
N/A,Nuclear,Alberta,Technology,2038,0,GW.h
N/A,Nuclear,Alberta,Technology,2039,0,GW.h
N/A,Nuclear,Alberta,Technology,2040,0,GW.h
N/A,Oil Products,Alberta,Technology,2005,509.4368,GW.h
N/A,Oil Products,Alberta,Technology,2006,860.0758,GW.h
N/A,Oil Products,Alberta,Technology,2007,922.0649,GW.h
N/A,Oil Products,Alberta,Technology,2008,635.8699,GW.h
N/A,Oil Products,Alberta,Technology,2009,14.148,GW.h
N/A,Oil Products,Alberta,Technology,2010,26.5102,GW.h
N/A,Oil Products,Alberta,Technology,2011,25.3992,GW.h
N/A,Oil Products,Alberta,Technology,2012,28.9342,GW.h
N/A,Oil Products,Alberta,Technology,2013,26.9964,GW.h
N/A,Oil Products,Alberta,Technology,2014,78.4087,GW.h
N/A,Oil Products,Alberta,Technology,2015,61.0262,GW.h
N/A,Oil Products,Alberta,Technology,2016,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2017,24.0999,GW.h
N/A,Oil Products,Alberta,Technology,2018,24.0999,GW.h
N/A,Oil Products,Alberta,Technology,2019,24.0999,GW.h
N/A,Oil Products,Alberta,Technology,2020,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2021,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2022,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2023,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2024,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2025,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2026,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2027,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2028,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2029,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2030,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2031,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2032,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2033,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2034,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2035,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2036,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2037,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2038,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2039,24.1,GW.h
N/A,Oil Products,Alberta,Technology,2040,24.1,GW.h
N/A,Crude Oil,Alberta,Technology,2005,0,GW.h
N/A,Crude Oil,Alberta,Technology,2006,0,GW.h
N/A,Crude Oil,Alberta,Technology,2007,0,GW.h
N/A,Crude Oil,Alberta,Technology,2008,0,GW.h
N/A,Crude Oil,Alberta,Technology,2009,0,GW.h
N/A,Crude Oil,Alberta,Technology,2010,0,GW.h
N/A,Crude Oil,Alberta,Technology,2011,0,GW.h
N/A,Crude Oil,Alberta,Technology,2012,0,GW.h
N/A,Crude Oil,Alberta,Technology,2013,0,GW.h
N/A,Crude Oil,Alberta,Technology,2014,0,GW.h
N/A,Crude Oil,Alberta,Technology,2015,0,GW.h
N/A,Crude Oil,Alberta,Technology,2016,0,GW.h
N/A,Crude Oil,Alberta,Technology,2017,0,GW.h
N/A,Crude Oil,Alberta,Technology,2018,0,GW.h
N/A,Crude Oil,Alberta,Technology,2019,0,GW.h
N/A,Crude Oil,Alberta,Technology,2020,0,GW.h
N/A,Crude Oil,Alberta,Technology,2021,0,GW.h
N/A,Crude Oil,Alberta,Technology,2022,0,GW.h
N/A,Crude Oil,Alberta,Technology,2023,0,GW.h
N/A,Crude Oil,Alberta,Technology,2024,0,GW.h
N/A,Crude Oil,Alberta,Technology,2025,0,GW.h
N/A,Crude Oil,Alberta,Technology,2026,0,GW.h
N/A,Crude Oil,Alberta,Technology,2027,0,GW.h
N/A,Crude Oil,Alberta,Technology,2028,0,GW.h
N/A,Crude Oil,Alberta,Technology,2029,0,GW.h
N/A,Crude Oil,Alberta,Technology,2030,0,GW.h
N/A,Crude Oil,Alberta,Technology,2031,0,GW.h
N/A,Crude Oil,Alberta,Technology,2032,0,GW.h
N/A,Crude Oil,Alberta,Technology,2033,0,GW.h
N/A,Crude Oil,Alberta,Technology,2034,0,GW.h
N/A,Crude Oil,Alberta,Technology,2035,0,GW.h
N/A,Crude Oil,Alberta,Technology,2036,0,GW.h
N/A,Crude Oil,Alberta,Technology,2037,0,GW.h
N/A,Crude Oil,Alberta,Technology,2038,0,GW.h
N/A,Crude Oil,Alberta,Technology,2039,0,GW.h
N/A,Crude Oil,Alberta,Technology,2040,0,GW.h
N/A,Electricity,Alberta,Technology,2005,0,GW.h
N/A,Electricity,Alberta,Technology,2006,0,GW.h
N/A,Electricity,Alberta,Technology,2007,0,GW.h
N/A,Electricity,Alberta,Technology,2008,0,GW.h
N/A,Electricity,Alberta,Technology,2009,0,GW.h
N/A,Electricity,Alberta,Technology,2010,0,GW.h
N/A,Electricity,Alberta,Technology,2011,0,GW.h
N/A,Electricity,Alberta,Technology,2012,0,GW.h
N/A,Electricity,Alberta,Technology,2013,0,GW.h
N/A,Electricity,Alberta,Technology,2014,0,GW.h
N/A,Electricity,Alberta,Technology,2015,0,GW.h
N/A,Electricity,Alberta,Technology,2016,0,GW.h
N/A,Electricity,Alberta,Technology,2017,0,GW.h
N/A,Electricity,Alberta,Technology,2018,0,GW.h
N/A,Electricity,Alberta,Technology,2019,0,GW.h
N/A,Electricity,Alberta,Technology,2020,0,GW.h
N/A,Electricity,Alberta,Technology,2021,0,GW.h
N/A,Electricity,Alberta,Technology,2022,0,GW.h
N/A,Electricity,Alberta,Technology,2023,0,GW.h
N/A,Electricity,Alberta,Technology,2024,0,GW.h
N/A,Electricity,Alberta,Technology,2025,0,GW.h
N/A,Electricity,Alberta,Technology,2026,0,GW.h
N/A,Electricity,Alberta,Technology,2027,0,GW.h
N/A,Electricity,Alberta,Technology,2028,0,GW.h
N/A,Electricity,Alberta,Technology,2029,0,GW.h
N/A,Electricity,Alberta,Technology,2030,0,GW.h
N/A,Electricity,Alberta,Technology,2031,0,GW.h
N/A,Electricity,Alberta,Technology,2032,0,GW.h
N/A,Electricity,Alberta,Technology,2033,0,GW.h
N/A,Electricity,Alberta,Technology,2034,0,GW.h
N/A,Electricity,Alberta,Technology,2035,0,GW.h
N/A,Electricity,Alberta,Technology,2036,0,GW.h
N/A,Electricity,Alberta,Technology,2037,0,GW.h
N/A,Electricity,Alberta,Technology,2038,0,GW.h
N/A,Electricity,Alberta,Technology,2039,0,GW.h
N/A,Electricity,Alberta,Technology,2040,0,GW.h
N/A,Total Generation,Alberta,Technology,2005,68085.208,GW.h
N/A,Total Generation,Alberta,Technology,2006,71426.2209,GW.h
N/A,Total Generation,Alberta,Technology,2007,72218.8881,GW.h
N/A,Total Generation,Alberta,Technology,2008,71326.3421,GW.h
N/A,Total Generation,Alberta,Technology,2009,71976.857,GW.h
N/A,Total Generation,Alberta,Technology,2010,73790.8972,GW.h
N/A,Total Generation,Alberta,Technology,2011,73370.7142,GW.h
N/A,Total Generation,Alberta,Technology,2012,74246.512,GW.h
N/A,Total Generation,Alberta,Technology,2013,77562.3942,GW.h
N/A,Total Generation,Alberta,Technology,2014,83909.9397,GW.h
N/A,Total Generation,Alberta,Technology,2015,80377.1362,GW.h
N/A,Total Generation,Alberta,Technology,2016,77827.292,GW.h
N/A,Total Generation,Alberta,Technology,2017,79647.841,GW.h
N/A,Total Generation,Alberta,Technology,2018,82074.2619,GW.h
N/A,Total Generation,Alberta,Technology,2019,85106.4785,GW.h
N/A,Total Generation,Alberta,Technology,2020,88383.3273,GW.h
N/A,Total Generation,Alberta,Technology,2021,89257.9055,GW.h
N/A,Total Generation,Alberta,Technology,2022,89493.7336,GW.h
N/A,Total Generation,Alberta,Technology,2023,88530.5241,GW.h
N/A,Total Generation,Alberta,Technology,2024,89819.1673,GW.h
N/A,Total Generation,Alberta,Technology,2025,89837.554,GW.h
N/A,Total Generation,Alberta,Technology,2026,91220.4472,GW.h
N/A,Total Generation,Alberta,Technology,2027,91872.3602,GW.h
N/A,Total Generation,Alberta,Technology,2028,90396.254,GW.h
N/A,Total Generation,Alberta,Technology,2029,89680.276,GW.h
N/A,Total Generation,Alberta,Technology,2030,89699.839,GW.h
N/A,Total Generation,Alberta,Technology,2031,90652.42,GW.h
N/A,Total Generation,Alberta,Technology,2032,90172.35,GW.h
N/A,Total Generation,Alberta,Technology,2033,90625.6938,GW.h
N/A,Total Generation,Alberta,Technology,2034,90904.6492,GW.h
N/A,Total Generation,Alberta,Technology,2035,91716.545,GW.h
N/A,Total Generation,Alberta,Technology,2036,92424.208,GW.h
N/A,Total Generation,Alberta,Technology,2037,93192.836,GW.h
N/A,Total Generation,Alberta,Technology,2038,94104.567,GW.h
N/A,Total Generation,Alberta,Technology,2039,95030.048,GW.h
N/A,Total Generation,Alberta,Technology,2040,95895.841,GW.h
N/A,Hydro,British Columbia,Technology,2005,60327,GW.h
N/A,Hydro,British Columbia,Technology,2006,53902.91,GW.h
N/A,Hydro,British Columbia,Technology,2007,64015.8,GW.h
N/A,Hydro,British Columbia,Technology,2008,58525.63,GW.h
N/A,Hydro,British Columbia,Technology,2009,56298.4,GW.h
N/A,Hydro,British Columbia,Technology,2010,53970.88,GW.h
N/A,Hydro,British Columbia,Technology,2011,60772.07,GW.h
N/A,Hydro,British Columbia,Technology,2012,64477.04,GW.h
N/A,Hydro,British Columbia,Technology,2013,58666.27,GW.h
N/A,Hydro,British Columbia,Technology,2014,57572.87,GW.h
N/A,Hydro,British Columbia,Technology,2015,65025.29,GW.h
N/A,Hydro,British Columbia,Technology,2016,65524.33,GW.h
N/A,Hydro,British Columbia,Technology,2017,66883.91,GW.h
N/A,Hydro,British Columbia,Technology,2018,67581.82,GW.h
N/A,Hydro,British Columbia,Technology,2019,67909.73,GW.h
N/A,Hydro,British Columbia,Technology,2020,68766.84,GW.h
N/A,Hydro,British Columbia,Technology,2021,69286.56,GW.h
N/A,Hydro,British Columbia,Technology,2022,70082.87,GW.h
N/A,Hydro,British Columbia,Technology,2023,70705.05,GW.h
N/A,Hydro,British Columbia,Technology,2024,70864.7,GW.h
N/A,Hydro,British Columbia,Technology,2025,74742.33,GW.h
N/A,Hydro,British Columbia,Technology,2026,75447.68,GW.h
N/A,Hydro,British Columbia,Technology,2027,75813.31,GW.h
N/A,Hydro,British Columbia,Technology,2028,77840.23,GW.h
N/A,Hydro,British Columbia,Technology,2029,77738.27,GW.h
N/A,Hydro,British Columbia,Technology,2030,78236.77,GW.h
N/A,Hydro,British Columbia,Technology,2031,78545.6,GW.h
N/A,Hydro,British Columbia,Technology,2032,79536.66,GW.h
N/A,Hydro,British Columbia,Technology,2033,79459.76,GW.h
N/A,Hydro,British Columbia,Technology,2034,79572.2,GW.h
N/A,Hydro,British Columbia,Technology,2035,79781.44,GW.h
N/A,Hydro,British Columbia,Technology,2036,80178.71,GW.h
N/A,Hydro,British Columbia,Technology,2037,80438.8,GW.h
N/A,Hydro,British Columbia,Technology,2038,80831.45,GW.h
N/A,Hydro,British Columbia,Technology,2039,81331.55,GW.h
N/A,Hydro,British Columbia,Technology,2040,81690.45,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2005,0,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2006,0,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2007,0,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2008,0,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2009,34,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2010,123,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2011,484.602,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2012,507.981,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2013,860,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2014,1071.139,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2015,1206,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2016,1058.948,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2017,1181.8223,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2018,1318.5166,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2019,1344.8109,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2020,1305.9816,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2021,1338.6137,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2022,1378.2187,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2023,1521.5442,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2024,1648.0765,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2025,1724.7825,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2026,1864.5205,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2027,1837.5163,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2028,1921.228,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2029,1937.1782,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2030,1971.5051,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2031,2000.1005,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2032,2047.7815,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2033,2068.8695,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2034,2091.2874,GW.h
N/A,Solar/Wind/Geothermal,British Columbia,Technology,2035,2116.8553,GW.h
